t,x1,y1,x2,y2,segmentationfailed
240,3332.0217094421387,3672.046714782715,3331.9694328308105,3672.075927734375,1
240,3332.227433204651,3637.135467529297,3332.2347164154053,3639.177085876465,1
240,3332.227433204651,3637.135467529297,3332.2347164154053,3639.177085876465,1
240,3332.5047149658203,3665.3365173339844,3332.5748443603516,3665.355339050293,1
240,3332.583885192871,3612.3423385620117,3332.583885192871,3612.3423385620117,1
240,3333.1980934143066,3642.0935974121094,3333.1054363250732,3643.6324768066406,1
240,3333.1980934143066,3642.0935974121094,3332.2347164154053,3639.177085876465,1
240,3333.5128898620605,3670.331100463867,3333.5128898620605,3670.331100463867,1
240,3333.752332687378,3671.1640701293945,3333.7513370513916,3671.167594909668,1
240,3333.987112045288,3669.168899536133,3333.987112045288,3669.168899536133,1
240,3334.0566844940186,3652.060203552246,3334.0469455718994,3653.2078247070312,1
240,3334.3403282165527,3639.9173126220703,3331.1596689224243,3641.5826873779297,1
240,3335.473358154297,3670.238670349121,3335.473340988159,3670.2386169433594,1
240,3335.512928009033,3669.3309478759766,3335.512928009033,3669.3309478759766,1
240,3335.8978157043457,3663.1295776367188,3335.99294090271,3663.170738220215,1
240,3335.9939670562744,3668.1652069091797,3335.993968963623,3668.165214538574,1
240,3336.916051864624,3616.157669067383,3330.9160528182983,3617.157669067383,1
240,3337.280336380005,3642.8162231445312,3337.1946411132812,3642.64111328125,1
240,3337.5101318359375,3663.3294677734375,3337.510513305664,3663.3294525146484,1
240,3337.8703804016113,3646.0610580444336,3338.0335521698,3646.0520782470703,1
240,3337.906940460205,3642.089584350586,3337.814796447754,3641.9534072875977,1
240,3337.966791152954,3662.176872253418,3337.9667835235596,3662.176872253418,1
240,3338.717908859253,3664.05167388916,3338.666311264038,3664.0728149414062,1
240,3339.304304122925,3616.998466491699,3341.304454803467,3616.9985122680664,1
240,3340.321798324585,3667.011260986328,3340.333200454712,3667.052574157715,1
240,3340.704864501953,3665.4449615478516,3340.704969406128,3665.444725036621,1
240,3341.0287494659424,3562.259506225586,3340.028787612915,3559.259457588196,1
240,3342.1694145202637,3667.513053894043,3342.1601905822754,3667.581832885742,1
240,3342.217632293701,3561.5605392456055,3341.217664718628,3558.560615539551,1
240,3342.2243041992188,3562.900411605835,3341.2243423461914,3559.900315284729,1
240,3342.322027206421,3665.9905548095703,3342.3217391967773,3665.9915313720703,1
240,3342.9571685791016,3646.296157836914,3343.529026031494,3646.3042373657227,1
240,3343.3462657928467,3563.790771484375,3342.3457622528076,3560.790591239929,1
240,3344.159923553467,3663.503059387207,3342.3217391967773,3665.9915313720703,1
240,3344.1689414978027,3671.5128784179688,3345.1689414978027,3673.5128784179688,1
240,3344.4616508483887,3567.750312805176,3343.4617881774902,3564.75075340271,1
240,3345.1689414978027,3673.5128784179688,3345.1689414978027,3673.5128784179688,1
240,3345.324354171753,3671.990020751953,3346.324354171753,3673.990020751953,1
240,3345.7287788391113,3661.776527404785,3345.2425479888916,3661.7881393432617,1
240,3346.168918609619,3675.5127487182617,3346.168918609619,3675.5127487182617,1
240,3346.324354171753,3673.990020751953,3346.324354171753,3673.990020751953,1
240,3346.833263397217,3672.6691360473633,3346.831777572632,3672.736717224121,1
240,3347.0462074279785,3677.9127197265625,3347.048448562622,3677.9122924804688,1
240,3347.3239517211914,3675.992385864258,3347.3239669799805,3675.9923782348633,1
240,3347.599042892456,3655.900260925293,3346.480100631714,3656.3964080810547,1
240,3349.159713745117,3671.040855407715,3349.7849159240723,3672.8197860717773,1
240,3350.1760635375977,3676.5103149414062,3350.181407928467,3676.5134887695312,1
240,3350.3379821777344,3669.9192810058594,3350.335262298584,3670.9214782714844,1
240,3350.8061180114746,3641.0015411376953,3350.890251159668,3640.806983947754,1
240,3351.0204124450684,3678.8388061523438,3351.0203018188477,3678.8389282226562,1
240,3351.122848510742,3628.559585571289,3351.122734069824,3630.5594177246094,1
240,3351.3305473327637,3676.9900970458984,3351.332233428955,3676.989974975586,1
240,3351.3706398010254,3573.5992755889893,3351.3129692077637,3573.642421722412,1
240,3351.4486541748047,3578.0449981689453,3354.7662086486816,3580.448860168457,1
240,3351.916061401367,3577.342315673828,3349.916061401367,3577.3423137664795,1
240,3353.5839462280273,3577.157667160034,3351.5839462280273,3577.157667160034,1
240,3356.126693725586,3667.5533294677734,3355.124729156494,3662.5544509887695,1
240,3356.179920196533,3579.0438327789307,3354.205825805664,3579.0468196868896,1
240,3356.91605758667,3578.3423461914062,3354.9160537719727,3578.342332839966,1
240,3356.9485054016113,3580.48099899292,3354.7662086486816,3580.448860168457,1
240,3356.949962615967,3641.656837463379,3356.938243865967,3643.672653198242,1
240,3358.602767944336,3578.1549797058105,3356.5843505859375,3578.1572875976562,1
240,3362.4051628112793,3576.133020401001,3360.7131004333496,3575.795249938965,1
240,3362.576889038086,3579.173921585083,3360.580005645752,3579.1763610839844,1
240,3362.576889038086,3579.173921585083,3360.580005645752,3579.1763610839844,1
240,3364.097412109375,3578.019479751587,3362.5990867614746,3577.465850830078,1
240,3368.21475982666,3580.0981636047363,3367.9772300720215,3581.3390312194824,1
242,3318.9168565273285,3621.158935546875,3319.916660785675,3621.15860748291,1
242,3320.583583831787,3621.3408813476562,3321.5839309692383,3621.3416137695312,1
242,3321.063784122467,3622.1136627197266,3322.081603527069,3622.177619934082,1
242,3321.3950123786926,3670.019386291504,3322.2968678474426,3669.673812866211,1
242,3322.8066759109497,3631.637252807617,3323.4886569976807,3631.6137313842773,1
242,3322.916965007782,3635.076446533203,3323.491003036499,3634.9134826660156,1
242,3323.0432357788086,3673.1558685302734,3323.105644226074,3673.0814895629883,1
242,3324.918073654175,3671.1602096557617,3324.918659210205,3671.160858154297,1
242,3325.369252204895,3678.1663208007812,3326.3030347824097,3678.186737060547,1
242,3325.6314096450806,3680.5003051757812,3326.589479446411,3680.500946044922,1
242,3325.7418298721313,3681.0291442871094,3326.675492286682,3681.0237731933594,1
242,3326.900005340576,3628.1596603393555,3327.2748708724976,3628.1467819213867,1
242,3326.900005340576,3628.1596603393555,3327.2748708724976,3628.1467819213867,1
242,3327.180012702942,3645.3195037841797,3328.1797199249268,3646.3205795288086,1
242,3328.1596755981445,3644.582679748535,3329.1596755981445,3645.582679748535,1
242,3328.3895406723022,3642.8889236450195,3329.3896255493164,3643.8888626098633,1
